color,keyword,camera,Nation1,Num1,Nation2,Num2,Nation3,Num3,Nation4,Num4,Nation5,Num5,nation1ratio,nation2ratio,nation3ratio,nation4ratio,nation5ratio,sum
black,nature,sony,United States,16,Canada,9,Iceland,5,Switzerland,4,Italy,4,0.09362295120506074,0.2867603663836514,0.2613421566292953,0.2278476924735407,0.130426833308452,0.071655457358388
black,flower,canon,United States,11,Germany,6,United Kingdom,6,Taiwan,5,India,2,0.015984824054959018,0.05486755390416492,0.04904434653226062,0.7876819291544888,0.09242134635412669,0.2885336312294046
black,flower,nikon,United States,6,Australia,3,United Kingdom,3,Netherlands,3,Romania,1,0.03531988442865504,0.12351601812660158,0.0993371749555923,0.49551720213142514,0.24630972035772591,0.07122682622367937
black,flower,sony,United States,6,China,1,Canada,1,Russia,1,Austria,1,0.07297880044510431,0.44629343349121486,0.06623076067792001,0.24583960319431328,0.16865740219144748,0.03447197343744522
black,mountain,canon,Italy,16,United States,10,Switzerland,7,Austria,4,Canada,4,0.3645869007995541,0.04089182220707788,0.2786485598968021,0.22680696735786215,0.08906574973870386,0.10253571230373501
black,mountain,nikon,United States,10,Italy,7,France,4,New Zealand,2,Romania,1,0.06020120451390529,0.23482689471019827,0.19668475721323847,0.2563926299386859,0.2518945136239721,0.06964764494756827
black,mountain,sony,United States,8,Switzerland,3,Iceland,2,Italy,2,Maldives,1,0.07453314327519485,0.27208400006837713,0.16644339579713457,0.10383267915381993,0.3831067817054735,0.04500410886383037
black,sea,canon,United States,16,New Zealand,6,Australia,3,United Kingdom,2,France,2,0.08318780741087294,0.6642954933312454,0.10909251503387023,0.058491427085770036,0.08493275713824142,0.08064397411878214
black,sea,nikon,Australia,8,United States,6,Iceland,3,United Kingdom,3,Maldives,2,0.29783312794304523,0.031937451769993214,0.1426419896468798,0.08982408310310591,0.43776334753697593,0.07877031920260763
black,sea,sony,United States,6,Australia,4,Maldives,1,United Kingdom,1,Italy,1,0.06952921604905064,0.32419781090319805,0.47651488585340745,0.06518364004598498,0.06457444714835896,0.03618224702354603
